subject_id,num_windows,MAE_15min_mgdl,RMSE_15min_mgdl,MAE_30min_mgdl,RMSE_30min_mgdl,MAE_60min_mgdl,RMSE_60min_mgdl,MAE_90min_mgdl,RMSE_90min_mgdl,dataset_name
HUPA0001P,264,10.638708114624023,15.371169090270996,20.97163391113281,29.522293090820312,37.10728073120117,50.6580810546875,48.767852783203125,63.54232025146485,14_HUPA-UCM
HUPA0002P,203,5.498854160308838,8.070874214172363,11.801227569580078,17.658447265625,23.389528274536133,34.904075622558594,32.720733642578125,48.20874786376953,14_HUPA-UCM
HUPA0003P,242,6.905819416046143,8.841242790222168,14.782941818237305,18.725486755371094,29.996856689453125,37.81121063232422,42.33921813964844,52.71788787841797,14_HUPA-UCM
HUPA0004P,203,4.936920166015625,8.216132164001465,11.58274745941162,18.687101364135746,23.955961227416992,37.81015396118164,32.87636947631836,52.33163070678711,14_HUPA-UCM
HUPA0005P,248,5.713703632354736,7.401482582092285,11.371175765991213,14.644661903381348,19.841344833374023,25.463802337646484,26.20598030090332,32.93787384033203,14_HUPA-UCM
HUPA0006P,143,6.504651069641113,9.409005165100098,15.134668350219728,21.817773818969727,31.28594398498535,45.65594100952149,46.65339660644531,67.09183502197266,14_HUPA-UCM
HUPA0007P,248,9.340706825256348,14.641725540161133,17.174325942993164,23.650299072265625,35.15771484375,45.548431396484375,47.40265274047852,61.005653381347656,14_HUPA-UCM
HUPA0009P,245,1.2219035625457764,1.995387315750122,2.917022705078125,4.791299819946289,7.192790508270264,11.303252220153809,11.520085334777832,17.575592041015625,14_HUPA-UCM
HUPA0010P,189,4.235215187072754,8.35689640045166,9.921541213989258,17.61557388305664,20.170000076293945,30.55726623535156,28.667295455932617,40.31827163696289,14_HUPA-UCM
HUPA0011P,247,9.387185096740724,14.184890747070312,19.180795669555664,26.12212562561035,34.951560974121094,46.65386199951172,45.80561447143555,60.5921745300293,14_HUPA-UCM
HUPA0014P,246,5.471532821655273,7.402387142181396,12.74557876586914,17.067642211914062,27.64354133605957,35.875362396240234,40.20137023925781,52.24068069458008,14_HUPA-UCM
HUPA0015P,244,6.253817081451416,8.823583602905273,14.760552406311035,20.824298858642575,29.856529235839844,41.2254524230957,41.04657745361328,54.84238815307617,14_HUPA-UCM
HUPA0016P,246,5.878029823303223,8.000150680541992,13.567708015441896,17.837173461914062,27.13521385192871,32.91278076171875,37.55533981323242,45.60032653808594,14_HUPA-UCM
HUPA0017P,231,5.873312950134277,8.26801872253418,13.562555313110352,18.653099060058597,27.680551528930664,37.02106857299805,39.02002716064453,52.0833625793457,14_HUPA-UCM
HUPA0018P,250,4.036932945251465,6.201649188995361,9.185799598693848,13.993612289428713,18.58035087585449,27.25218772888184,27.586191177368164,38.85678863525391,14_HUPA-UCM
HUPA0019P,238,10.774195671081545,14.52779483795166,21.36327171325684,28.384002685546875,37.6341438293457,48.61173629760742,48.59915542602539,61.39556121826172,14_HUPA-UCM
HUPA0020P,182,7.261852264404297,9.724367141723633,16.037473678588867,21.43109130859375,33.179931640625,43.5380973815918,46.40810394287109,59.84612274169922,14_HUPA-UCM
HUPA0021P,147,8.64229965209961,13.41285514831543,18.114585876464844,27.07062339782715,32.94158935546875,45.77693939208984,42.21622467041016,56.28236389160156,14_HUPA-UCM
HUPA0022P,259,6.757822036743164,12.310791969299316,10.133588790893556,15.821361541748049,14.92597770690918,21.0300235748291,18.488149642944336,26.072364807128903,14_HUPA-UCM
HUPA0023P,252,4.207845211029053,5.793838024139404,8.768694877624512,12.396381378173828,16.490131378173828,22.76198387145996,22.3923282623291,30.332019805908203,14_HUPA-UCM
HUPA0024P,184,5.327915191650391,7.588065624237059,12.04581069946289,16.59828758239746,24.677095413208008,32.553062438964844,35.312198638916016,44.00146484375,14_HUPA-UCM
HUPA0025P,258,3.545855760574341,5.4849348068237305,7.841745853424072,12.114028930664062,15.502391815185549,23.137678146362305,21.47920227050781,31.485185623168945,14_HUPA-UCM
HUPA0026P,2698,6.185719966888428,9.150455474853516,13.748099327087402,19.947696685791016,26.77967834472656,37.51287841796875,35.560997009277344,49.14609909057617,14_HUPA-UCM
HUPA0027P,11011,6.0215582847595215,9.2184419631958,11.003623962402344,15.98245334625244,19.1658878326416,27.23272705078125,25.175783157348636,35.35154342651367,14_HUPA-UCM
HUPA0028P,1718,7.044258117675781,10.63380241394043,13.635122299194336,19.49233627319336,23.90215301513672,33.662193298339844,31.259933471679688,42.789669036865234,14_HUPA-UCM
UoMGlucose2301,2084,8.358298301696777,12.467403411865234,14.907060623168944,21.79844665527344,25.45489883422852,35.91107940673828,31.431171417236328,42.89933395385742,17_T1DM-UOM
UoMGlucose2302,2563,6.483599662780762,11.093833923339844,12.909786224365234,19.454360961914062,21.408456802368164,30.62946128845215,26.356502532958984,36.08708953857422,17_T1DM-UOM
UoMGlucose2303,934,9.739048957824709,13.981054306030272,17.893726348876953,24.77798080444336,27.224689483642575,35.781219482421875,28.67111015319824,36.42734146118164,17_T1DM-UOM
UoMGlucose2304,1514,8.940276145935059,12.8131685256958,16.89145851135254,23.670093536376957,31.196094512939453,41.69001770019531,41.8669319152832,54.83732986450195,17_T1DM-UOM
UoMGlucose2305,1205,8.609829902648926,12.682313919067385,18.02540779113769,26.175216674804688,33.69166946411133,46.57248306274414,43.823822021484375,59.0451545715332,17_T1DM-UOM
UoMGlucose2306,1928,8.46320915222168,12.783580780029297,16.954299926757812,24.052858352661133,29.696199417114254,40.23252868652344,36.956329345703125,48.55601119995117,17_T1DM-UOM
UoMGlucose2307,550,12.866133689880373,19.865137100219727,23.77464866638184,36.786598205566406,39.85622787475586,59.02470397949219,48.187599182128906,69.68958282470703,17_T1DM-UOM
UoMGlucose2308,1906,8.246489524841309,11.707926750183104,15.339751243591309,21.80562973022461,26.58626937866211,36.75039291381836,34.12694549560547,46.47761154174805,17_T1DM-UOM
UoMGlucose2309,1370,8.451817512512207,13.154348373413086,15.207880973815918,21.83177375793457,26.42275047302246,35.817535400390625,35.60063934326172,47.52487182617188,17_T1DM-UOM
UoMGlucose2310,3333,7.5461626052856445,10.51449489593506,13.702400207519531,18.851123809814453,22.79652976989746,30.80555725097656,27.966785430908203,37.49302673339844,17_T1DM-UOM
UoMGlucose2313,1852,8.636262893676758,12.103781700134276,16.275978088378906,22.881988525390625,29.660245895385746,40.667457580566406,40.60272979736328,55.18205261230469,17_T1DM-UOM
UoMGlucose2314,1738,9.295836448669434,13.876835823059082,18.60196685791016,26.409330368041992,33.04198455810547,44.84231185913086,41.72100830078125,54.78269958496094,17_T1DM-UOM
UoMGlucose2320,1587,6.951803207397461,10.362922668457031,11.487247467041016,16.305360794067383,19.577884674072266,26.30078887939453,25.202953338623047,32.9179573059082,17_T1DM-UOM
UoMGlucose2401,1737,8.9777250289917,12.781436920166016,16.929119110107422,23.153949737548828,29.996057510375977,40.26226425170898,39.66396331787109,52.92420959472656,17_T1DM-UOM
UoMGlucose2403,2143,7.660386562347412,11.65440273284912,14.4013090133667,20.65018653869629,24.529882431030277,34.03824234008789,32.3325080871582,44.13037872314453,17_T1DM-UOM
UoMGlucose2404,1469,7.174623012542725,10.409738540649414,14.90041446685791,20.5528564453125,27.79395866394043,37.57636260986328,36.81062316894531,49.064491271972656,17_T1DM-UOM
UoMGlucose2405,1875,9.177568435668944,13.38804817199707,17.90372085571289,24.950958251953125,31.40825653076172,42.33649826049805,39.81061935424805,52.69970703125,17_T1DM-UOM
P01,3872,5.368473052978516,9.0997314453125,11.652934074401855,19.25107192993164,22.615293502807617,35.67964553833008,30.92580223083496,47.37444686889648,18_Bris-T1D Open
P02,4011,2.8678348064422607,9.229287147521973,4.727800369262695,13.832193374633787,7.735844135284424,21.64433860778809,9.71625518798828,27.06713104248047,18_Bris-T1D Open
P03,1623,9.946088790893556,13.891087532043455,17.75609016418457,24.753610610961918,31.350984573364254,42.51815414428711,41.544219970703125,55.3197135925293,18_Bris-T1D Open
P04,4193,11.411827087402344,16.08461570739746,20.159711837768555,27.95068359375,32.9937744140625,44.9917221069336,39.20670318603516,52.38240432739258,18_Bris-T1D Open
P05,4265,4.705809116363525,7.93450403213501,10.105233192443848,16.430524826049805,19.56858253479004,29.62113380432129,26.688722610473636,38.172000885009766,18_Bris-T1D Open
P06,3831,5.45832109451294,8.735286712646484,11.960907936096191,18.779142379760746,23.34357261657715,35.190574645996094,32.1016845703125,47.28258895874024,18_Bris-T1D Open
P07,3987,12.634684562683104,18.273134231567383,23.77742958068848,33.603267669677734,43.23434066772461,58.8081283569336,56.50519180297852,75.50804901123047,18_Bris-T1D Open
P10,3919,4.451153755187988,9.041284561157228,7.532149314880371,15.2999849319458,11.692965507507324,23.544628143310547,13.60303783416748,27.156234741210938,18_Bris-T1D Open
P11,4247,7.214861392974853,11.466693878173828,13.802271842956545,21.153865814208984,24.68643569946289,36.622825622558594,32.39556121826172,47.061805725097656,18_Bris-T1D Open
P12,4262,5.373849868774414,8.861934661865234,10.093742370605469,16.448171615600586,17.67974281311035,27.81847381591797,22.765186309814453,35.779563903808594,18_Bris-T1D Open
P13,1806,3.563469171524048,5.723971366882324,7.720715522766113,12.148082733154297,15.083971977233888,22.60526657104492,20.76205062866211,30.21722984313965,18_Bris-T1D Open
P15,4170,2.4211349487304688,7.042093753814697,4.206760406494141,12.53304672241211,7.2748637199401855,21.002389907836918,9.156787872314451,25.847381591796875,18_Bris-T1D Open
P16,3797,8.58250904083252,11.999942779541016,15.42466926574707,21.12946128845215,24.69100379943848,32.721187591552734,29.520458221435547,38.8313102722168,18_Bris-T1D Open
P17,3731,5.504765033721924,9.68312931060791,10.413291931152344,18.145416259765625,18.153135299682617,31.21930313110352,22.522876739501957,38.77300643920898,18_Bris-T1D Open
P18,4267,4.934098720550537,10.428508758544922,9.884482383728027,20.644306182861328,18.87679481506348,38.18765640258789,25.339662551879883,50.55357360839844,18_Bris-T1D Open
P19,3902,6.317232608795166,9.760759353637695,12.482879638671877,18.683887481689453,23.734600067138672,34.53032684326172,32.27028274536133,46.409759521484375,18_Bris-T1D Open
P21,3356,5.741760730743408,9.154457092285156,12.572640419006348,19.560359954833984,25.809823989868164,37.93385314941406,36.83871078491211,52.08523178100586,18_Bris-T1D Open
P22,3984,3.177290439605713,8.091547012329102,5.181027412414551,13.085897445678713,8.71564769744873,21.72952461242676,11.41715145111084,28.22549057006836,18_Bris-T1D Open
P23,1863,11.488350868225098,16.902877807617188,20.064592361450195,28.90675926208496,33.82884216308594,46.88982772827149,40.63919448852539,56.06508255004883,18_Bris-T1D Open
P24,4032,10.466495513916016,14.81801700592041,18.35138702392578,25.791423797607425,30.419605255126957,42.098121643066406,36.7221908569336,50.1044807434082,18_Bris-T1D Open
Subject 1,723,7.675375938415527,11.079524040222168,12.31729507446289,17.31368637084961,20.318506240844727,27.55207061767578,25.11153793334961,33.24906539916992,19_AZT1D
Subject 10,786,8.069616317749023,12.866325378417969,13.820527076721191,21.796762466430664,24.35128402709961,36.54452133178711,31.83870887756348,46.35468292236328,19_AZT1D
Subject 11,844,9.720685005187988,13.349908828735352,17.773900985717773,23.989362716674805,29.72457695007324,37.92678451538086,36.65861129760742,46.09685134887695,19_AZT1D
Subject 12,836,7.9169230461120605,11.942102432250977,13.813638687133787,19.804473876953125,24.585107803344727,33.34185791015625,32.27279281616211,41.74370574951172,19_AZT1D
Subject 13,845,6.244115829467773,9.130081176757812,10.710055351257324,15.619714736938477,18.05337142944336,25.09308433532715,23.045482635498047,31.260841369628903,19_AZT1D
Subject 14,845,10.579303741455078,14.514379501342772,19.224925994873047,25.583890914916992,30.39170265197754,39.43000411987305,35.25712203979492,44.233619689941406,19_AZT1D
Subject 15,909,8.91077709197998,12.55020523071289,15.082391738891602,21.551780700683597,24.582164764404297,34.35287094116211,31.72831153869629,43.583946228027344,19_AZT1D
Subject 16,807,6.023991107940674,8.954771041870117,11.43710994720459,16.78266143798828,22.404993057250977,31.124347686767575,30.81623268127441,41.74457931518555,19_AZT1D
Subject 17,831,14.896568298339844,19.749492645263672,21.68170738220215,28.14619445800781,33.87897491455078,43.9130973815918,43.082645416259766,56.04737854003906,19_AZT1D
Subject 18,691,8.041496276855469,11.240042686462402,15.106622695922852,20.679351806640625,27.762205123901367,36.94367980957031,37.28619384765625,48.68693923950195,19_AZT1D
Subject 19,865,7.464066982269287,11.68903636932373,13.516328811645508,19.76095199584961,23.03080940246582,31.483930587768555,28.608591079711918,37.85274887084961,19_AZT1D
Subject 2,733,10.484211921691896,15.692327499389648,19.72650146484375,28.02325439453125,32.68550491333008,44.671661376953125,39.44924545288086,52.381778717041016,19_AZT1D
Subject 20,878,8.320324897766113,12.374833106994627,14.006546020507812,19.84193992614746,24.05915069580078,33.32569885253906,31.400922775268555,42.28749465942383,19_AZT1D
Subject 21,882,12.921283721923828,19.40711975097656,19.7822380065918,27.7471866607666,31.497642517089844,41.08789443969727,39.12567901611328,51.32691955566406,19_AZT1D
Subject 22,742,10.710569381713867,15.57966136932373,18.11341094970703,24.625333786010746,27.89867782592773,36.70901107788086,35.14348220825195,45.8658561706543,19_AZT1D
Subject 23,899,11.016139030456545,16.26641082763672,19.221900939941406,26.92474365234375,32.14771270751953,42.39226913452149,38.80546951293945,51.60956954956055,19_AZT1D
Subject 24,663,10.628213882446287,14.62092113494873,16.977067947387695,23.01111602783203,25.824142456054688,34.497520446777344,30.227201461791992,39.72920989990234,19_AZT1D
Subject 25,712,9.377161979675291,13.252973556518556,18.538875579833984,25.11307907104492,34.96610641479492,46.0379753112793,47.9085693359375,62.024391174316406,19_AZT1D
Subject 3,707,8.095451354980469,12.04473114013672,13.4706449508667,19.514686584472656,22.5836238861084,29.98962783813477,29.361650466918945,37.20668411254883,19_AZT1D
Subject 4,842,9.111565589904783,13.079084396362305,17.153745651245117,23.36513328552246,30.39804077148437,39.16650772094727,39.96706008911133,50.16161346435547,19_AZT1D
Subject 5,866,7.804184913635254,11.265978813171388,13.36688995361328,18.808761596679688,25.47020530700684,33.38844299316406,35.096309661865234,44.20450210571289,19_AZT1D
Subject 6,840,7.583864688873291,11.563124656677246,13.333402633666992,19.049972534179688,21.91570854187012,30.635690689086918,27.18404006958008,37.2532958984375,19_AZT1D
Subject 7,883,8.600179672241211,12.430984497070312,15.117568016052246,20.947473526000977,25.11594581604004,34.68534851074219,30.10505485534668,42.16512298583984,19_AZT1D
Subject 8,528,7.307814121246338,10.139395713806152,15.704731941223145,21.586864471435547,29.241844177246094,39.3777961730957,37.661380767822266,51.25812911987305,19_AZT1D
Subject 9,708,8.47835636138916,12.508288383483888,16.649003982543945,22.437562942504883,31.12664222717285,39.612911224365234,41.94139099121094,52.388221740722656,19_AZT1D
